Fiscal year,Profit Centre,Product Group Name,General Ledger code,General Ledger Name/Income Type,Country,Country Name,Invoice Currency,Amount Invoice Currency ,GBP Equivalent,Quantity,Region,Aa Country,Profit Center &Product,Profit Center &Income type,Invoiced/Quantity
2020,C003,A and AS LEVEL,102000,Subject Fees,IM,Isle of Man,GBP,"57,729",57729,753,Europe,IM Isle of Man,C003-A and AS LEVEL,C003-Subject Fees,77
2020,C003,A and AS LEVEL,102000,Subject Fees,IN,India,GBP,"1,473,810",1473810,22586,South Asia,IN India,C003-A and AS LEVEL,C003-Subject Fees,65
2020,C003,A and AS LEVEL,102000,Subject Fees,IQ,Iraq,GBP,"11,286",11286,143,Middle East & North Africa,IQ Iraq,C003-A and AS LEVEL,C003-Subject Fees,79
2020,C003,A and AS LEVEL,102000,Subject Fees,IR,Iran,GBP,"6,501",6501,79,Middle East & North Africa,IR Iran,C003-A and AS LEVEL,C003-Subject Fees,82
2020,C003,A and AS LEVEL,102000,Subject Fees,IT,Italy,EUR,"82,016",71007,776,Europe,IT Italy,C003-A and AS LEVEL,C003-Subject Fees,106
2020,C003,A and AS LEVEL,102000,Subject Fees,JM,Jamaica,GBP,0,0,0,Latin America,JM Jamaica,C003-A and AS LEVEL,C003-Subject Fees,
2020,C003,A and AS LEVEL,102000,Subject Fees,JO,Jordan,GBP,"88,795",88795,1055,Middle East & North Africa,JO Jordan,C003-A and AS LEVEL,C003-Subject Fees,84
2020,C003,A and AS LEVEL,102000,Subject Fees,JP,Japan,GBP,"2,631",2631,34,East Asia,JP Japan,C003-A and AS LEVEL,C003-Subject Fees,77
2020,C003,A and AS LEVEL,102000,Subject Fees,KE,Kenya,GBP,"152,649",152649,3181,Sub-Saharan Africa,KE Kenya,C003-A and AS LEVEL,C003-Subject Fees,48
2020,C003,A and AS LEVEL,102000,Subject Fees,KG,Kyrgyzstan,GBP,"2,078",2078,28,Europe,KG Kyrgyzstan,C003-A and AS LEVEL,C003-Subject Fees,74
2020,C003,A and AS LEVEL,102000,Subject Fees,KH,Cambodia,GBP,"42,070",42070,637,Southeast Asia & Pacific,KH Cambodia,C003-A and AS LEVEL,C003-Subject Fees,66
2020,C003,A and AS LEVEL,102000,Subject Fees,KR,South Korea,GBP,"5,932",5932,78,East Asia,KR South Korea,C003-A and AS LEVEL,C003-Subject Fees,76
2020,C003,A and AS LEVEL,102000,Subject Fees,KW,Kuwait,GBP,"56,809",56809,668,Middle East & North Africa,KW Kuwait,C003-A and AS LEVEL,C003-Subject Fees,85
2020,C003,A and AS LEVEL,102000,Subject Fees,KY,Cayman Islands,GBP,"35,795",35795,513,Latin America,KY Cayman Islands,C003-A and AS LEVEL,C003-Subject Fees,70
2020,C003,A and AS LEVEL,102000,Subject Fees,KZ,Kazakhstan,GBP,"8,425",8425,120,Europe,KZ Kazakhstan,C003-A and AS LEVEL,C003-Subject Fees,70
2020,C003,A and AS LEVEL,102000,Subject Fees,LA,Laos,GBP,"7,107",7107,148,Southeast Asia & Pacific,LA Laos,C003-A and AS LEVEL,C003-Subject Fees,48
2020,C003,A and AS LEVEL,102000,Subject Fees,LB,Lebanon,GBP,842,842,9,Middle East & North Africa,LB Lebanon,C003-A and AS LEVEL,C003-Subject Fees,94
2020,C003,A and AS LEVEL,102000,Subject Fees,LK,Sri Lanka,GBP,"154,315",154315,2488,South Asia,LK Sri Lanka,C003-A and AS LEVEL,C003-Subject Fees,62
2020,C003,A and AS LEVEL,102000,Subject Fees,LS,Lesotho,GBP,"23,206",23206,509,Sub-Saharan Africa,LS Lesotho,C003-A and AS LEVEL,C003-Subject Fees,46
2020,C003,A and AS LEVEL,102000,Subject Fees,LT,Lithuania,GBP,"4,833",4833,65,Europe,LT Lithuania,C003-A and AS LEVEL,C003-Subject Fees,74
2020,C003,A and AS LEVEL,102000,Subject Fees,LU,Luxembourg,EUR,"61,002",51126,570,Europe,LU Luxembourg,C003-A and AS LEVEL,C003-Subject Fees,107
2020,C003,A and AS LEVEL,102000,Subject Fees,LV,Latvia,EUR,"11,004",9210,109,Europe,LV Latvia,C003-A and AS LEVEL,C003-Subject Fees,101
2020,C003,A and AS LEVEL,102000,Subject Fees,LY,Libya,GBP,652,652,7,Middle East & North Africa,LY Libya,C003-A and AS LEVEL,C003-Subject Fees,93
2020,C003,A and AS LEVEL,102000,Subject Fees,MA,Morocco,GBP,"7,772",7772,93,Middle East & North Africa,MA Morocco,C003-A and AS LEVEL,C003-Subject Fees,84
2020,C003,A and AS LEVEL,102000,Subject Fees,MC,Monaco,GBP,0,0,0,Europe,MC Monaco,C003-A and AS LEVEL,C003-Subject Fees,
2020,C003,A and AS LEVEL,102000,Subject Fees,ME,Montenegro,GBP,203,203,3,Europe,ME Montenegro,C003-A and AS LEVEL,C003-Subject Fees,68
2020,C003,A and AS LEVEL,102000,Subject Fees,MM,Burma,GBP,"24,088",24088,366,Southeast Asia & Pacific,MM Burma,C003-A and AS LEVEL,C003-Subject Fees,66
2020,C003,A and AS LEVEL,102000,Subject Fees,MN,Mongolia,GBP,"35,081",35081,533,East Asia,MN Mongolia,C003-A and AS LEVEL,C003-Subject Fees,66
2020,C003,A and AS LEVEL,102000,Subject Fees,MO,Macau,GBP,"21,956",21956,325,East Asia,MO Macau,C003-A and AS LEVEL,C003-Subject Fees,68
2020,C003,A and AS LEVEL,102000,Subject Fees,MT,Malta,EUR,883,754,7,Europe,MT Malta,C003-A and AS LEVEL,C003-Subject Fees,126
2020,C003,A and AS LEVEL,102000,Subject Fees,MU,Mauritius,GBP,"2,868,258",2868258,50702,Sub-Saharan Africa,MU Mauritius,C003-A and AS LEVEL,C003-Subject Fees,57
2020,C003,A and AS LEVEL,102000,Subject Fees,MV,Maldives,GBP,"7,770",7770,131,South Asia,MV Maldives,C003-A and AS LEVEL,C003-Subject Fees,59
2020,C003,A and AS LEVEL,102000,Subject Fees,MW,Malawi,GBP,"34,044",34044,758,Sub-Saharan Africa,MW Malawi,C003-A and AS LEVEL,C003-Subject Fees,45
2020,C003,A and AS LEVEL,102000,Subject Fees,MX,Mexico,USD,"22,982",17796,216,Latin America,MX Mexico,C003-A and AS LEVEL,C003-Subject Fees,106
